CONFIG,TYPE,OWNER,NOTE,6580,6735,6735M,6753,6757,6735_64,6735M_64,6753_64,6755_64,6797_64,6757_64
CONFIG_ACCDET_EINT,PROJECT,xuexi.bai,,y,O,O,O,O,O,O,O,O,O,O
CONFIG_ACCDET_EINT_IRQ,PROJECT,xuexi.bai,,X,O,O,O,O,O,O,O,O,O,O
CONFIG_FOUR_KEY_HEADSET,PROJECT,xuexi.bai,,O,O,O,O,O,O,O,O,O,O,O
CONFIG_AEABI,PLATFORM,,,y,y,y,y,y,X,X,X,X,X,X
CONFIG_ANDROID,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ANDROID_BINDER_IPC,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ANDROID_LOW_MEMORY_KILLER,COMMON,,,y,y,y,y,y,y,y,y,y,y,y
CONFIG_ARCH_MT6580,PLATFORM,,,y,X,X,X,X,X,X,X,X,X,X
CONFIG_ARCH_MT6735,PLATFORM,,,X,y,X,X,X,y,X,X,X,X,X
CONFIG_ARCH_MT6735M,PLATFORM,,,X,X,y,X,X,X,y,X,X,X,X
CONFIG_ARCH_MT6753,PLATFORM,,,X,X,X,y,X,X,X,y,X,X,X
CONFIG_ARCH_MT6755,PLATFORM,,,X,X,X,X,X,X,X,X,y,X,X
CONFIG_ARCH_MT6797,PLATFORM,,,X,X,X,X,X,X,X,X,X,y,X
CONFIG_ARCH_MT6757,PLATFORM,,,X,X,X,X,y,X,X,X,X,X,y
CONFIG_ARCH_MTK_PROJECT,PROJECT,,,O,O,O,O,O,O,O,O,O,O,O
CONFIG_ARM_ARCH_TIMER_SUSPEND_NONSTOP,PLATFORM,mac.lu,,X,X,X,X,X,X,X,X,N,X,X
CONFIG_ARM_KERNMEM_PERMS,PLATFORM,yun.hsiang,,y,y,y,y,y,X,X,X,X,X,X
CONFIG_ARM_PATCH_PHYS_VIRT,PLATFORM,,,N,N,N,N,N,X,X,X,X,X,X
CONFIG_ARM_PSCI,PLATFORM,scott.shu,,X,y,y,y,y,X,X,X,X,X,X
CONFIG_ARM_UNWIND,PLATFORM,Ji.Zhang,,N,N,N,N,N,X,X,X,X,X,X
